@relation InstanceResultListener

@attribute Key_Dataset {'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2','-L 0.05 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 1','-L 0.05 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2'}
@attribute Key_Scheme_version_ID {-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',1,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1552,22960,11481,7982,3499,0,69.523561,30.476439,0,0.391028,0.39713,0.445761,79.426714,89.152571,11480.931641,9604.267611,1876.66403,0.999994,0.836536,0.163458,2689.561973,0.234262,268957.704517,0.536043,3086,0.144654,828,0.855346,4896,0.463957,2671,0.788452,0.536043,0.638197,0.412842,0.756895,0.784016,0.695236,0.303847,0.696153,0.304764,0.717939,0.695236,0.687326,0.412842,0.756895,0.740242,0.687468,0.695236,45.869,0.039,45.833094,0.0312,45833.0938,31.2002,30124,11875252,5940609,99.97387,99.364167,?
'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',1,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1552,22961,11480,7930,3550,0,69.076655,30.923345,0,0.382165,0.40135,0.449739,80.270574,89.94819,11479.935672,9748.904877,1731.030795,0.999994,0.849208,0.150787,2600.502112,0.226525,260051.714279,0.507297,2920,0.124738,714,0.875262,5010,0.492703,2836,0.803522,0.507297,0.621938,0.411237,0.753081,0.778269,0.690767,0.308208,0.691792,0.309233,0.721262,0.690767,0.680004,0.411237,0.753081,0.739374,0.680166,0.690767,46.092,0.041,46.082695,0.0468,46082.6954,46.8003,30124,11875769,5940092,99.982578,99.50784,?
'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',1,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1553,22961,11480,7933,3547,0,69.102787,30.897213,0,0.382638,0.39586,0.449415,79.172657,89.883314,11479.935672,9763.920896,1716.014776,0.999994,0.850516,0.149479,2718.286424,0.236785,271830.213495,0.521716,3003,0.138714,794,0.861286,4930,0.478284,2753,0.790888,0.521716,0.628703,0.407029,0.748844,0.770562,0.691028,0.308026,0.691974,0.308972,0.71649,0.691028,0.681921,0.407029,0.748844,0.731113,0.68207,0.691028,45.994,0.033,45.957895,0.0312,45957.8946,31.2002,30124,11875769,5940092,99.834495,98.950348,?
'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',2,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1554,22960,11481,8075,3406,0,70.333595,29.666405,0,0.406969,0.396849,0.447608,79.37053,89.521875,11480.931641,9715.713651,1765.217991,0.999994,0.846243,0.153751,2669.514277,0.232516,266952.923651,0.615946,3546,0.20877,1195,0.79123,4529,0.384054,2211,0.747943,0.615946,0.675557,0.41349,0.755771,0.776469,0.703336,0.29616,0.70384,0.296664,0.71006,0.703336,0.701072,0.41349,0.755771,0.737775,0.701145,0.703336,45.799,0.04,45.723893,0.0468,45723.8931,46.8003,30124,11875252,5940609,99.860639,98.980925,?
'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',2,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1555,22961,11480,7940,3540,0,69.163763,30.836237,0,0.383687,0.395762,0.448453,79.153072,89.691017,11479.935672,9700.118671,1779.817001,0.999994,0.844958,0.155036,2724.206849,0.2373,272422.259455,0.571577,3290,0.187631,1074,0.812369,4650,0.428423,2466,0.753896,0.571577,0.650198,0.395476,0.750617,0.778542,0.691638,0.307691,0.692309,0.308362,0.703816,0.691638,0.687145,0.395476,0.750617,0.737226,0.687248,0.691638,47.009,0.033,46.987501,0.0312,46987.5012,31.2002,30124,11875769,5940092,99.965157,99.272648,?
'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',2,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1555,22961,11480,7936,3544,0,69.12892,30.87108,0,0.383124,0.40046,0.449242,80.092643,89.848773,11479.935672,9733.100167,1746.835505,0.999994,0.847831,0.152163,2611.684798,0.227499,261169.989308,0.532488,3065,0.149022,853,0.850978,4871,0.467512,2691,0.782287,0.532488,0.633657,0.404377,0.745923,0.771939,0.691289,0.307823,0.692177,0.308711,0.713407,0.691289,0.683316,0.404377,0.745923,0.728739,0.683455,0.691289,46.004,0.033,45.989095,0.0312,45989.0948,31.2002,30124,11875769,5940092,99.956446,99.372822,?
'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',3,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1556,22960,11481,7918,3563,0,68.966118,31.033882,0,0.379902,0.402896,0.449207,80.579761,89.841811,11480.931641,9728.893263,1752.038378,0.999994,0.847391,0.152603,2549.138588,0.222031,254915.287322,0.527011,3034,0.146751,840,0.853249,4884,0.472989,2723,0.78317,0.527011,0.630049,0.402107,0.750289,0.775007,0.689661,0.309401,0.690599,0.310339,0.712808,0.689661,0.681241,0.402107,0.750289,0.734648,0.681389,0.689661,45.926,0.033,45.879894,0.0312,45879.8941,31.2002,30124,11875252,5940609,99.94774,99.346747,?
'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',3,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1557,22961,11480,8000,3480,0,69.686411,30.313589,0,0.394007,0.392137,0.448503,78.428043,89.700899,11479.935672,9721.874979,1758.060693,0.999994,0.846853,0.153141,2797.048421,0.243645,279706.458715,0.614142,3535,0.219951,1259,0.780049,4465,0.385858,2221,0.73738,0.614142,0.670142,0.399654,0.750758,0.774744,0.696864,0.302673,0.697327,0.303136,0.702694,0.696864,0.694793,0.399654,0.750758,0.734246,0.694862,0.696864,45.884,0.032,45.864294,0.0312,45864.294,31.2002,30124,11875769,5940092,99.834495,98.593206,?
'LabelledTrain-weka.filters.unsupervised.attribute.Remove-R1-23,25-28,30-32,34-59,61-62,64,67,71-85,87-96,98-101,103-104,106,109,111,114,118,120,124-131,133-138,140-146,148-149,151-153,155-162,167-171,173-175,177-178,180-208,210-215,218-233,235-243,245-270,272-289,291-298,300-307,309-339,341-358,360-361,363-366,368-384,386-390,392-393,397-411,413-414,416-421,423-432,434-436-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F4-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.supervised.instance.SMOTE-C2-K3-P500.0-S1-weka.filters.unsupervised.instance.Randomize-S42',3,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.1 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H 2',-5990607817048210779,20170329.1558,22961,11480,7936,3544,0,69.12892,30.87108,0,0.382653,0.399342,0.451897,79.868972,90.379661,11479.935672,9839.68386,1640.251812,0.999994,0.857115,0.142879,2590.84577,0.225683,259086.074442,0.669041,3851,0.286338,1639,0.713662,4085,0.330959,1905,0.701457,0.669041,0.684866,0.383065,0.751239,0.775592,0.691289,0.308586,0.691414,0.308711,0.691741,0.691289,0.691143,0.383065,0.751239,0.733453,0.691161,0.691289,45.805,0.038,45.801894,0.0312,45801.8936,31.2002,30124,11875769,5940092,99.878049,98.915505,?
